store_nbr,store_name,chain_name,store_state,target,total_orders,total_items,total_brands,total_sales,total_qty,avg_invoice_value,sales_per_order,qty_per_order,items_per_order,brands_per_order,adoption_probability,segment,potential_revenue
15112010,TALLENT SAUSAGE & GR-010,20,28,0,16,12,5,815.06,19,42.89789474,50.94125,1.1875,0.75,0.3125,0.66521466,Medium Potential,542.1898589730263
31133,#670 MARKET FRESH OF NEWBURGH,6,20,0,116,107,7,39059.0634,827,58.91261448,336.7160638,7.129310345,0.922413793,0.060344828,0.66258156,Medium Potential,25879.81527672837
47186,MENDOTA FOOD CENTER,37,2,0,49,67,6,16347.64,307,56.76263889,333.6253061,6.265306122,1.367346939,0.12244898,0.65648746,Medium Potential,10732.02074077606
18555,KURKMANS MARKET,4,10,0,58,88,11,12904.04,327,40.07465839,222.4834483,5.637931034,1.517241379,0.189655172,0.65289026,Medium Potential,8424.92209501505
48166,STOCKTON SUPERMERCADO,37,2,0,14,28,5,9933.12,194,72.50452555,709.5085714,13.85714286,2.0,0.357142857,0.64471245,Medium Potential,6404.006112670899
19395,BROOKSIDE MARKET,4,3,0,77,91,11,14215.35,335,42.4338806,184.6149351,4.350649351,1.181818182,0.142857143,0.6377119,Medium Potential,9065.297610193491
34349,KING'S RED & WHITE,29,16,0,64,81,6,6695.9411,146,47.48894397,104.6240797,2.28125,1.265625,0.09375,0.6374203,Medium Potential,4268.128762440193
47716,STATE FOODS FIREBAUGH,37,2,0,55,101,10,18457.43,497,45.57390123,335.5896364,9.036363636,1.836363636,0.181818182,0.6359741,Medium Potential,11738.447601869702
46178,EL CASTILLO CARNICERIA FD MARKET,37,2,0,46,40,7,8377.37,173,48.99046784,182.1167391,3.760869565,0.869565217,0.152173913,0.6309217,Medium Potential,5285.464701694251
11469010,BORDER TOWN FOODS #10-010,20,28,0,47,72,6,13826.74,297,54.43598425,294.1859574,6.319148936,1.531914894,0.127659574,0.62289023,Medium Potential,8612.541313967704
31217,#425 GREEN WAY MARKET OF MAPLEWOOD,6,18,0,30,58,8,6893.0085,153,45.64906291,229.76695,5.1,1.933333333,0.266666667,0.61637324,Medium Potential,4248.665989025205
